Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/redirect/str,41912,0,1200.0,1101.9248282955894,3.623590000643162,8965.832187997876,0.0,350.1371397569649,0.0,1200,1200,1300,1400,2300,2500,3500,3900,5900,8000,9000
,Aggregated,41912,0,1200.0,1101.9248282955894,3.623590000643162,8965.832187997876,0.0,350.1371397569649,0.0,1200,1200,1300,1400,2300,2500,3500,3900,5900,8000,9000
