Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/redirect/str,9610,61,11000.0,10556.26524607446,107.74136200052453,30749.8142129989,0.13329864724245577,80.3521696712323,0.5100397866748356,11000,12000,12000,13000,15000,22000,26000,27000,30000,31000,31000
,Aggregated,9610,61,11000.0,10556.26524607446,107.74136200052453,30749.8142129989,0.13329864724245577,80.3521696712323,0.5100397866748356,11000,12000,12000,13000,15000,22000,26000,27000,30000,31000,31000
