Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/redirect/str,8933,69,13000.0,11265.912199386614,114.97272000269732,30953.01442100026,0.15985671107130864,74.70172702650777,0.5770087501207921,13000,13000,13000,13000,14000,25000,26000,26000,30000,31000,31000
,Aggregated,8933,69,13000.0,11265.912199386614,114.97272000269732,30953.01442100026,0.15985671107130864,74.70172702650777,0.5770087501207921,13000,13000,13000,13000,14000,25000,26000,26000,30000,31000,31000
